"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 13 19:33:39 CST 2022","Mon Jun 13 19:33:39 CST 2022","294","case","test_case_yaml_pytest","Test_test","","","test_02_00002","test_02_00002"
"passed","Mon Jun 13 19:33:38 CST 2022","Mon Jun 13 19:33:39 CST 2022","527","case","test_case_yaml_pytest","Test_test","","","test_02_00001","test_02_00001"
"passed","Mon Jun 13 19:33:39 CST 2022","Mon Jun 13 19:33:40 CST 2022","253","case","test_case_yaml_pytest","Test_test","","","test_02_00003","test_02_00003"
